camera1_tip_x,camera1_tip_y,camera2_tip_x,camera2_tip_y,joint_1,joint_2,joint_3,joint_4
531,177,,,1386,2701,1961,963
529,175,371,421,1337,2530,2034,958
585,342,567,392,2583,2751,1931,959
10,360,507,254,2169,1725,2680,1235
84,207,40,344,1898,1698,2618,1381
308,182,259,394,1775,2313,2012,1315
312,355,564,372,2247,2465,1932,1248
573,259,492,417,1916,2909,1801,941
49,269,215,293,2058,1537,3060,1017
545,63,376,285,1508,2547,2245,990
594,96,537,214,2429,2668,2290,988
52,140,382,48,2163,1852,2792,1206
78,47,205,49,1942,1773,2937,1204
339,46,341,199,1958,2270,2499,1012
323,80,516,123,2265,2191,2628,964
606,99,479,261,2023,2810,2207,948
26,121,297,13,2080,1888,2600,1405
563,160,359,384,1519,2582,2014,962
400,290,399,419,2032,2547,2003,1000
193,293,331,398,2033,2127,2114,1417
94,250,85,361,1922,1792,2561,1314
183,251,468,212,2190,2032,2426,1260
360,94,279,279,1830,2225,2363,1117
520,167,530,249,2315,2559,2225,976
247,284,526,241,2236,2086,2379,1223
577,224,441,384,1927,2906,1916,945
448,266,536,309,2330,2507,2148,948
166,177,129,303,1835,1773,2774,984
325,185,540,150,2294,2135,2625,983
58,160,353,62,2115,1867,2727,1237
390,227,370,368,1898,2497,2058,1085
489,358,594,346,2418,2644,2020,1004
325,406,622,368,2463,2174,2334,1028
117,207,526,117,2222,2111,2438,1184
581,243,576,285,2592,2743,1998,1064
453,277,418,408,1892,2759,1943,947
246,145,508,123,2228,2205,2508,1054
245,133,182,267,1883,1983,2543,1176
121,188,92,287,1864,1638,2796,1336
74,191,173,171,2039,1726,2771,1244
40,301,449,133,2172,1672,2895,1218
511,307,524,358,2308,2654,1951,1066
301,189,337,316,1980,2257,2225,1217
335,44,397,152,2078,2234,2592,965
314,201,274,357,1867,2316,1976,1413
454,189,299,405,1679,2635,1834,1226
517,281,469,417,2181,2905,1820,973
270,286,363,396,1979,2315,1698,1718
532,335,571,391,2390,2856,1771,996
278,71,255,195,1841,2185,2569,970
107,128,151,117,1952,1680,2870,1258
536,172,391,360,1549,2668,2126,950
566,285,555,349,2535,2826,2012,948
404,221,316,416,1735,2528,1836,1256
224,162,243,250,1925,2038,2300,1369
89,186,107,216,1925,1646,2760,1380
366,174,260,370,1754,2357,2021,1312
413,291,471,377,2153,2676,1736,1319
189,334,519,284,2233,2150,2020,1571
553,219,357,443,1387,2688,1742,1182
