host_time_sec,rt_ms,servo_id,hand_left_x,hand_left_y,hand_right_x,hand_right_y,goal_positions
1763604926.483870,531.630,1,133.42,82.06,294.31,83.31,2227;2744;1870;1595;1946
1763604930.618629,217.630,1,487.08,173.34,437.91,162.88,1838;2803;2140;1225;2195
1763604935.612287,167.901,1,138.78,82.18,245.46,332.75,2637;3168;1713;1368;1856
1763604940.647156,226.409,1,428.81,373.01,115.83,291.74,2191;3214;1348;1574;1746
1763604945.671354,274.190,1,373.15,236.08,270.43,292.41,2021;3339;1274;1478;1470
1763604946.115468,194.639,1,373.15,236.08,385.00,243.25,2181;2633;1957;1693;2229
1763604946.616887,170.731,1,468.77,201.97,390.46,253.28,1935;2657;2151;1385;2040
1763604975.593476,175.621,1,385.94,384.62,245.01,354.05,2068;2650;1325;2199;2112
1763604990.617043,142.136,1,327.89,271.19,307.10,70.64,2099;2961;1944;1382;1794
1763604991.120147,153.496,1,271.00,287.38,309.75,69.52,2237;2823;1950;1490;1972
1763605037.343951,44019.705,1,336.21,293.48,302.93,64.37,2074;3015;1960;1309;1657
1763605046.518879,1174.118,1,522.43,294.23,580.29,324.07,1207;2808;1802;1703;1895
1763605046.585951,1177.115,1,520.10,293.12,580.29,324.07,1222;2780;1835;1706;1897
1763605047.036165,151.312,1,454.85,275.93,523.38,256.42,2037;2465;2194;1626;2090
1763605651.790991,184.248,1,340.22,180.29,12.69,400.26,2678;3454;1552;1214;1947
1763605652.417460,250.689,1,399.84,208.35,308.07,226.87,2064;2887;1803;1535;1959
1763605652.959679,304.909,1,322.35,72.64,378.53,82.87,2222;2765;2146;1334;2096
1763605654.010855,240.528,1,313.75,151.89,346.16,138.84,2197;2727;1925;1637;2149
1763605654.657627,298.848,1,354.65,194.22,275.95,201.29,2226;2832;1818;1608;1898
1763605655.185909,169.215,1,381.06,253.55,258.11,264.07,2062;3139;1411;1501;1678
1763605656.118356,317.507,1,387.84,271.96,278.32,256.79,2038;2837;1976;1208;2115
1763605657.206333,163.988,1,388.13,318.08,210.93,306.26,2043;3162;1388;1504;1814
1763605661.144283,1153.768,1,422.46,311.25,235.93,282.60,1961;3021;1438;1688;2230
1763605661.632052,432.219,1,410.08,308.64,238.09,278.70,2003;2979;1531;1632;2234
1763605662.145286,188.761,1,409.42,309.08,238.71,281.96,2009;2992;1540;1598;2208
1763605662.752071,144.067,1,409.12,307.62,239.50,281.68,2011;2996;1534;1600;2205
1763605663.314708,248.207,1,407.03,304.62,237.15,280.83,2021;3015;1529;1572;2173
1763605665.647017,158.222,1,438.51,320.91,262.85,316.63,2007;3055;1472;1590;2202
1763605666.193441,212.918,1,526.84,333.58,328.48,358.93,1576;3413;1154;1663;2116
1763605666.702611,230.489,1,361.36,419.54,191.53,358.19,2262;2838;1603;1570;1976
1763605667.221660,224.102,1,457.31,320.18,331.64,321.18,1751;2672;1525;2049;2328
1763605667.729919,209.599,1,484.02,364.57,249.18,366.84,2102;3052;1480;1537;2188
1763605669.408597,186.143,1,354.40,122.92,498.82,398.03,2541;2731;2064;1540;1797
1763605669.950886,240.203,1,585.09,319.06,473.03,390.73,1230;2981;1662;1617;1774
1763605670.467247,200.508,1,599.78,297.13,517.72,369.59,1227;2942;1757;1579;1801
1763605671.221797,331.015,1,639.76,281.69,537.91,372.58,1213;2936;1742;1595;1806
1763605672.602100,171.591,1,359.23,382.87,537.91,372.58,2127;2429;2042;1835;1979
1763605674.055933,251.726,1,254.77,407.53,354.82,125.91,2234;2833;1948;1482;1940
1763605674.561952,202.979,1,257.95,406.69,353.39,135.52,2233;2820;1938;1510;1956
1763605675.079184,195.566,1,257.63,408.44,177.32,330.47,2505;2602;1360;2257;1784
1763605675.549724,207.169,1,256.33,407.26,177.81,331.41,2501;2602;1364;2251;1780
1763605676.123779,256.611,1,256.79,409.55,360.40,110.34,2233;2847;1957;1453;1920
1763605676.590864,166.628,1,258.97,409.26,181.50,329.31,2483;2581;1398;2238;1766
1763605677.102519,218.229,1,290.51,357.59,177.20,309.33,2402;2784;1320;2047;1833
1763605677.646093,237.988,1,262.34,321.38,229.76,285.08,2209;2294;1825;2139;1703
