split,dim,MAE,MSE,RMSE,R2
train,follower_pos1,306.81060791015625,129976.625,360.522705078125,0.3127210736274719
train,follower_pos2,166.11219787597656,44335.71484375,210.5604705810547,0.22108560800552368
train,follower_pos3,359.5850524902344,218250.125,467.1724853515625,-0.3586587905883789
train,follower_pos4,184.889404296875,56919.61328125,238.5783233642578,-0.01623666286468506
val,follower_pos1,282.82855224609375,109040.765625,330.2132263183594,0.20012658834457397
val,follower_pos2,247.36839294433594,81211.078125,284.9755859375,0.16526031494140625
val,follower_pos3,494.416015625,338335.1875,581.6658935546875,-0.4255192279815674
val,follower_pos4,190.9343719482422,50561.2578125,224.85830688476562,0.17755144834518433
test,follower_pos1,303.4070129394531,113409.0859375,336.7626647949219,0.34960609674453735
test,follower_pos2,196.74363708496094,55803.23828125,236.2270965576172,0.29834187030792236
test,follower_pos3,488.98675537109375,348672.96875,590.4853515625,-0.4856441020965576
test,follower_pos4,203.5740966796875,68528.1640625,261.7788391113281,0.0583224892616272
