timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4
1758627599.2144556,90,294,307,437,2739,2267,2203,2763
1758627608.5895412,122,248,247,380,2602,2087,2723,2431
1758627620.706007,156,214,218,323,2476,1947,3038,2401
1758627629.958687,205,230,289,292,2302,1926,3038,2283
1758627638.9187832,155,273,311,347,2436,2250,2244,2768
1758627645.2706249,106,318,352,431,2737,2303,1949,2963
1758627662.1862395,125,348,403,412,2698,2322,1773,3124
1758627671.707508,170,304,360,352,2433,2279,2013,2939
1758627679.9423854,223,250,320,288,2258,2086,2659,2569
1758627688.409355,272,257,361,263,2074,2056,2722,2490
1758627697.3462965,225,307,398,313,2066,2300,2040,2902
1758627712.7774022,163,372,451,377,2168,2296,1769,3014
1758627722.0378637,218,410,490,346,1624,2297,1753,3078
1758627733.4559207,268,344,446,297,1863,2254,2041,2947
1758627739.5916972,317,276,395,243,1902,1993,2839,2427
1758627765.4568436,282,438,524,320,1465,2286,1899,3013
1758627775.4388041,319,379,493,280,1610,2234,2200,2832
1758627784.7217438,354,306,438,233,1792,1816,3035,2352
1758627788.7955112,356,305,438,235,1754,1816,3035,2351
1758627878.582533,340,474,555,302,1349,2234,2182,2803
1758627907.3237405,359,409,509,276,1482,2234,2182,2958
1758627921.4907715,412,328,468,221,1665,1965,2922,2346
1758627927.5111654,414,330,469,220,1653,1932,3033,2402
1758627954.0689323,220,330,408,326,2051,2233,1978,3054
1758627968.428236,233,390,494,331,1790,2306,1906,2918
1758627976.1495104,143,325,397,382,2449,2290,1912,3012
1758627983.8394234,98,287,301,432,2691,2241,2255,2750
1758628007.3485508,357,447,544,289,1388,2285,2132,2880
1758628017.7209392,391,376,500,251,1586,2039,2659,2594
1758628028.6575491,295,323,442,277,1876,2197,2251,2825
1758628039.1513426,211,278,354,310,2229,2210,2310,2730
1758628046.359708,134,247,248,365,2518,1956,2939,2365
1758628058.5433571,134,274,299,373,2559,2192,2306,2762
1758628070.2734356,174,290,355,341,2350,2222,2106,2932
1758628083.1438,231,320,410,313,2100,2240,2034,2953
1758628089.7876952,281,348,450,296,1825,2191,2079,2960
1758628097.9557374,369,398,507,268,1511,2179,2364,2763
1758628156.7258592,38,248,279,446,2755,2599,2014,2632
1758628167.6923034,76,272,372,400,2685,2624,1753,2887
1758628179.3263242,98,292,429,371,2518,2600,1588,3036
1758628188.5087225,150,328,490,324,2059,2579,1550,3038
1758628197.8535328,211,365,538,294,1612,2582,1569,3074
1758628228.1372097,347,451,574,260,1305,2556,1950,2744
1758628238.949049,374,388,552,233,1463,2508,2086,2666
1758628255.7462468,262,333,513,259,1708,2598,1722,2952
1758628267.1627069,182,287,454,293,2095,2599,1623,3038
1758628275.9669669,106,265,399,325,2355,2598,1710,2960
1758628288.6448355,63,228,200,460,2700,2469,2188,2583
1758628304.6136994,81,209,215,344,2609,2322,2529,2392
1758628317.8714302,119,223,296,319,2504,2487,2155,2594
1758628326.717744,158,231,368,287,2304,2533,1953,2785
1758628343.9717677,148,265,430,258,2039,2559,1871,2828
1758628352.7552795,187,294,470,240,1849,2528,1941,2796
1758628362.4641314,333,310,513,225,1669,2505,2058,2712
1758628373.0224218,397,353,535,213,1537,2411,2291,2537
1758628392.1583166,418,308,513,190,1597,2228,2722,2334
1758628399.9305682,306,271,469,199,1764,2403,2315,2564
1758628419.816008,244,222,389,223,2035,2452,2218,2599
1758628431.702571,150,206,348,243,2180,2449,2226,2598
1758628440.9393952,156,192,267,265,2370,2327,2523,2413
1758628451.2152236,124,177,199,293,2478,2071,3007,2218
1758628465.7382338,112,172,202,269,2445,2062,3030,2270
1758628474.2324185,184,171,255,245,2336,2218,2781,2303
1758628481.9008656,205,142,318,219,2196,2343,2452,2496
1758628490.0046375,266,210,377,205,2019,2418,2337,2613
1758628505.0433857,321,225,416,190,1899,2314,2469,2508
1758628512.689211,377,250,456,179,1752,2316,2537,2476
1758628520.818963,440,272,479,169,1652,2087,3007,2288
1758628629.5616834,42,213,295,386,2753,2712,1968,2554
1758628650.1440418,61,264,475,323,2585,2989,1440,2794
1758628721.7224793,50,256,386,399,2758,2811,1654,2778
1758628744.2155886,157,326,513,309,1992,2909,1308,3047
1758628758.1643438,222,383,570,279,1494,2873,1438,2954
1758628764.4125757,318,420,593,255,1325,2795,1659,2797
1758628779.3110037,375,436,599,237,1323,2723,1894,2632
1758628794.2846823,399,375,566,203,1477,2647,2068,2541
1758628811.1758964,315,318,539,217,1593,2692,1900,2649
1758628825.3042164,246,289,505,231,1758,2750,1729,2779
1758628838.8509197,186,246,480,246,2000,2841,1619,2777
1758628872.9783797,135,252,413,280,2374,2766,1674,2777
1758628886.8430057,69,195,331,333,2625,2710,1904,2617
1758628897.9898818,78,206,273,350,2633,2617,2104,2522
1758628909.0745447,86,183,239,313,2613,2527,2296,2409
1758628916.6539667,113,185,301,286,2501,2648,2050,2564
1758628926.0902767,150,198,372,244,2266,2710,1881,2674
1758628936.1228778,218,228,434,219,2013,2716,1843,2697
1758628947.537595,301,266,481,203,1818,2692,1889,2672
1758628956.6002612,374,299,517,184,1641,2625,2095,2547
1758628964.4456518,425,313,539,177,1554,2542,2266,2460
1758628984.2172976,444,270,513,157,1624,2245,2875,2121
1758628994.1234019,367,235,485,165,1744,2502,2368,2392
1758629009.7484405,300,207,437,179,1904,2588,2156,2511
1758629024.880425,257,189,387,182,2064,2533,2275,2469
1758629032.402712,209,169,338,194,2227,2491,2379,2396
1758629038.0663881,160,157,254,217,2368,2373,2634,2257
1758629053.8499703,140,145,205,229,2442,2156,3075,2105
1758629080.005478,68,229,341,352,2665,2778,1783,2669
1758629087.3260555,128,178,281,259,2455,2592,2198,2443
