cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,aug_type
174.0,290.0,355.0,341.0,2350,2222,2106,2932,original
272.0,257.0,361.0,263.0,2074,2056,2722,2490,original
,,215.0,344.0,2609,2322,2529,2392,left_nan
301.0,266.0,,,1818,2692,1889,2672,right_nan
321.0,225.0,,,1899,2314,2469,2508,right_nan
,,544.0,289.0,1388,2285,2132,2880,left_nan
,,398.0,313.0,2066,2300,2040,2902,left_nan
225.0,307.0,,,2066,2300,2040,2902,right_nan
,,451.0,377.0,2168,2296,1769,3014,left_nan
347.0,451.0,574.0,260.0,1305,2556,1950,2744,original
86.0,183.0,239.0,313.0,2613,2527,2296,2409,original
106.0,265.0,399.0,325.0,2355,2598,1710,2960,original
,,456.0,179.0,1752,2316,2537,2476,left_nan
306.0,271.0,469.0,199.0,1764,2403,2315,2564,original
,,438.0,235.0,1754,1816,3035,2351,left_nan
295.0,323.0,,,1876,2197,2251,2825,right_nan
156.0,192.0,267.0,265.0,2370,2327,2523,2413,original
,,517.0,184.0,1641,2625,2095,2547,left_nan
317.0,276.0,,,1902,1993,2839,2427,right_nan
106.0,318.0,352.0,431.0,2737,2303,1949,2963,original
246.0,289.0,,,1758,2750,1729,2779,right_nan
187.0,294.0,,,1849,2528,1941,2796,right_nan
220.0,330.0,,,2051,2233,1978,3054,right_nan
,,524.0,320.0,1465,2286,1899,3013,left_nan
315.0,318.0,,,1593,2692,1900,2649,right_nan
367.0,235.0,485.0,165.0,1744,2502,2368,2392,original
124.0,177.0,199.0,293.0,2478,2071,3007,2218,original
,,239.0,313.0,2613,2527,2296,2409,left_nan
135.0,252.0,,,2374,2766,1674,2777,right_nan
135.0,252.0,413.0,280.0,2374,2766,1674,2777,original
170.0,304.0,,,2433,2279,2013,2939,right_nan
,,500.0,251.0,1586,2039,2659,2594,left_nan
42.0,213.0,,,2753,2712,1968,2554,right_nan
,,296.0,319.0,2504,2487,2155,2594,left_nan
182.0,287.0,454.0,293.0,2095,2599,1623,3038,original
,,301.0,432.0,2691,2241,2255,2750,left_nan
205.0,142.0,318.0,219.0,2196,2343,2452,2496,original
414.0,330.0,,,1653,1932,3033,2402,right_nan
68.0,229.0,,,2665,2778,1783,2669,right_nan
140.0,145.0,,,2442,2156,3075,2105,right_nan
150.0,198.0,372.0,244.0,2266,2710,1881,2674,original
367.0,235.0,,,1744,2502,2368,2392,right_nan
143.0,325.0,397.0,382.0,2449,2290,1912,3012,original
399.0,375.0,566.0,203.0,1477,2647,2068,2541,original
78.0,206.0,,,2633,2617,2104,2522,right_nan
,,566.0,203.0,1477,2647,2068,2541,left_nan
86.0,183.0,,,2613,2527,2296,2409,right_nan
,,281.0,259.0,2455,2592,2198,2443,left_nan
211.0,278.0,354.0,310.0,2229,2210,2310,2730,original
414.0,330.0,469.0,220.0,1653,1932,3033,2402,original
106.0,265.0,,,2355,2598,1710,2960,right_nan
233.0,390.0,494.0,331.0,1790,2306,1906,2918,original
,,469.0,199.0,1764,2403,2315,2564,left_nan
315.0,318.0,539.0,217.0,1593,2692,1900,2649,original
209.0,169.0,338.0,194.0,2227,2491,2379,2396,original
,,538.0,294.0,1612,2582,1569,3074,left_nan
354.0,306.0,438.0,233.0,1792,1816,3035,2352,original
,,468.0,221.0,1665,1965,2922,2346,left_nan
231.0,320.0,,,2100,2240,2034,2953,right_nan
,,301.0,286.0,2501,2648,2050,2564,left_nan
