timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4
1758536976.8089783,385,280,477,214,1649,2037,2808,2564
1758536982.513579,307,228,414,234,1869,2036,2680,2618
1758536989.0063314,219,170,314,270,2180,2069,2621,2749
1758536997.5064354,121,163,211,311,2398,1915,2923,2550
1758537003.6829336,82,190,235,360,2516,2075,2627,2679
1758537009.0813284,131,223,349,316,2236,2238,2195,2942
1758537015.5186925,225,294,457,257,1843,2269,2151,2881
1758537024.1757462,310,361,511,240,1558,2207,2411,2656
1758537033.044378,275,428,555,290,1427,2294,1963,3086
1758537041.4984663,163,323,505,318,1720,2375,1777,3187
1758537050.9232552,74,268,400,372,2420,2323,1856,3182
1758537057.2426739,50,229,287,426,2618,2363,2097,2881
1758537068.329206,59,93,524,172,1605,2525,2170,2689
1758537075.093425,63,77,434,181,1919,2543,2111,2683
1758537093.1575053,180,137,304,226,2165,2449,2295,2607
1758537100.4289157,122,99,194,241,2407,2288,2580,2594
1758537106.6130931,83,113,227,295,2489,2597,2071,2656
1758537111.1042519,123,139,321,213,2239,2676,1973,2637
1758537116.015457,233,191,475,200,1859,2702,1905,2653
1758537121.0298457,332,243,546,178,1562,2621,2093,2564
1758537127.8477185,341,389,595,233,1440,2622,1901,2775
1758537134.517139,135,334,526,290,1726,2671,1478,3118
1758537140.7219245,59,230,444,329,2356,2669,1609,2975
1758537145.4996154,8,178,264,465,2682,2549,2044,2661
1758537154.1866446,68,77,530,49,1673,2951,2123,2380
1758537164.4866273,203,112,453,104,2060,2908,1996,2389
1758537184.6209464,157,88,332,139,2250,2667,2251,2380
1758537201.091504,106,59,143,244,2475,2270,3016,1968
1758537207.0188117,69,95,186,342,2569,2645,2204,2485
1758537214.263358,131,94,347,240,2334,2811,2004,2460
1758537226.1934562,227,162,491,166,2030,2930,1856,2437
1758537232.171574,355,223,547,153,1637,2854,1948,2515
1758537244.324319,290,383,604,244,1359,2854,1782,2572
1758537250.7295487,147,186,535,219,2093,3172,1454,2674
1758537268.9168267,32,164,326,358,2621,2812,1823,2681
1758537277.0876844,119,151,213,326,2402,2113,2876,2224
1758537290.0578272,156,179,303,295,2310,2111,2694,2463
1758537301.786253,240,226,412,217,1890,2258,2478,2523
1758537313.6166928,348,290,488,192,1684,2151,2738,2379
1758537321.2440503,301,337,514,235,1586,2413,2190,2604
1758537327.439393,201,282,469,269,1901,2461,1901,2959
1758537332.6322217,116,232,366,327,2311,2414,1954,2978
1758537338.5246139,69,188,234,378,2555,2206,2605,2512
1758537344.9060466,33,204,269,439,2681,2388,2147,2710
1758537350.0949578,71,254,398,376,2423,2451,1807,2990
1758537354.7981758,165,330,486,305,1911,2487,1624,3124
1758537360.0943146,274,393,537,256,1457,2533,1819,2933
1758537376.473805,177,50,540,80,2012,3088,1894,2338
1758537403.6589031,52,121,388,245,2427,2916,1995,2258
