timestamp,cam_left_x,cam_left_y,cam_right_x,cam_right_y,follower_pos1,follower_pos2,follower_pos3,follower_pos4,follower_pos5
1762413664.2763927,454,288,463,291,1764,2248,2490,1488,2323
1762413691.9998672,398,289,382,278,2004,2416,2086,1801,2390
1762413766.8855627,364,289,349,274,2024,2455,2216,1457,2250
1762413790.1578448,336,289,311,269,2069,2313,2447,1266,2035
1762413819.695106,305,295,283,271,2041,2421,2170,1635,1751
1762413830.211842,242,297,236,262,2206,2420,2164,1635,1668
1762413841.5771616,185,293,199,250,2343,2363,2309,1594,1718
1762413900.690586,186,369,171,299,2515,2417,1980,1845,1899
1762413944.6931958,251,363,202,308,2328,2510,1692,2045,1828
1762413971.007591,327,359,253,324,2160,2539,1619,1999,1938
1762413986.2367473,354,350,282,327,2106,2551,1770,1760,2070
1762414018.7272077,391,351,319,340,2021,2596,1720,1790,2280
1762414043.0548172,436,346,370,339,1793,2509,1825,1887,2227
1762414065.9507637,443,342,394,354,1758,2509,1823,1906,2212
1762414119.0093727,480,335,459,366,1590,2480,1760,2098,2062
1762414173.8429406,509,368,444,424,1474,2660,1467,2163,2008
1762414208.7219527,470,396,357,427,1554,2573,1379,2280,2015
1762414242.7369072,416,410,282,400,2008,2579,1302,2277,2168
1762414294.6389127,381,425,242,392,2116,2600,1296,2143,2078
1762414328.579776,336,434,208,377,2269,2653,1391,1987,1951
1762414382.641442,279,450,171,366,2513,2557,1284,2356,1836
1762414423.797039,193,443,137,341,2647,2658,1391,2250,1909
1762414512.901804,488,259,463,250,1648,2785,1912,1520,2121
1762414549.307603,427,242,376,212,1848,2780,1923,1581,2103
1762414584.1281433,392,229,326,203,2036,2756,1928,1552,2179
1762414615.352531,378,239,296,215,2065,2671,2191,1196,2048
1762414640.9398053,325,230,257,208,2153,2685,2068,1348,1861
1762414695.3932087,275,211,210,190,2241,2833,1931,1512,1899
1762414730.4739578,190,242,170,213,2416,2686,1957,1665,1844
1762414759.3222632,172,332,130,261,2479,2886,1644,1804,1784
1762414800.3728614,269,319,166,265,2346,2978,1450,1857,1860
1762414828.580404,337,299,207,261,2122,2844,1669,1599,1880
1762414861.6644056,390,309,251,281,2081,2957,1677,1473,2095
1762414886.7646773,421,312,271,292,2029,2920,1601,1693,2294
1762414919.0530488,497,300,378,300,1705,2997,1571,1695,2145
1762414998.65119,529,301,467,325,1545,2850,1783,1642,2020
1762415088.6271691,551,353,452,423,1337,2992,1411,1863,1809
1762415101.5609179,508,354,337,382,1625,3185,1167,1882,2078
1762415111.0214195,474,341,261,331,1937,3100,1273,1759,2168
1762415151.285423,472,356,209,332,2062,3212,1406,1354,2056
1762415178.8060539,379,360,147,301,2177,3210,1345,1531,1748
1762415315.090277,303,382,132,294,2373,3117,1205,1906,1828
1762415342.0939658,201,462,92,325,2708,2878,1456,1944,2121
1762415387.7473092,215,66,130,110,2361,2939,2206,1071,1796
1762415415.2029426,304,63,167,83,2149,2881,2296,1059,1547
1762415480.8165169,383,90,214,80,2040,2909,2324,993,1650
1762415586.3388917,433,96,245,68,2070,2978,2189,1012,2028
1762415605.1068022,470,110,294,62,2036,2977,2142,1043,2189
1762415707.603373,504,101,372,15,1908,3009,2165,1063,2292
1762415724.0934389,538,149,476,57,1724,2961,2192,1093,2167
1762415741.3591707,573,186,471,97,1626,3194,1938,1102,2075
1762415791.8480449,567,156,364,47,1890,3305,1857,1050,2287
1762415830.4452076,530,128,249,58,2013,3308,1861,1011,2230
1762415852.2447104,494,127,192,87,2034,3360,1770,1008,2012
1762415867.7819498,444,116,149,100,2113,3272,1868,1004,1768
1762415908.0127826,350,67,110,96,2182,3262,1968,1019,1557
1762415929.207853,197,78,66,134,2472,3257,1922,1069,1795
1762415955.3591688,660,225,404,186,1399,3523,1645,1061,1864
1762415982.3754249,637,217,287,212,1953,3544,1631,1040,2576
1762415999.4995558,591,137,138,52,2001,3437,1701,1011,2069
1762416020.1641622,569,122,108,57,2052,3524,1626,1010,1986
1762416030.7094738,517,141,77,123,2201,3523,1643,1040,1785
1762416046.953178,448,171,42,171,2169,3466,1746,1030,1370
1762416061.635026,264,88,12,169,2659,3473,1760,1030,1889
